自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
10202010402,信报箱,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.4.2
10202010403,电梯安装,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.4.3
10202010404,水电安装,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.4.4
102020105,全装修工程,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5
10202010501,空调,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.1
10202010502,吊顶,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.2
10202010503,墙地面瓷砖,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.3
10202010504,门套基层,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.4
10202010505,卫浴设备安装,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.5
10202010506,橱柜及设备安装,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.6
10202010507,门、门套安装,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.7
10202010508,智能,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.8
10202010509,纯净水,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.9
10202010510,内墙涂料,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.10
10202010511,地板,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.11
10202010512,踢脚线,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.1.5.12
1020202,2号楼,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.2
1020203,3号楼,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.3
1020204,4号楼,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.4
1020205,5号楼,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.5
1020206,6号楼,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.6
1020207,7号楼,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.7
1020208,8号楼,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.2.8
10203,室外总体施工,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.3
10204,配套施工,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4
1020401,门牌号批复,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.1
1020402,内配,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.2
102040201,煤气,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.2.1
102040202,强电,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.2.2
102040203,上水,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.2.3
102040204,消防,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.2.4
102040205,有线,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.2.5
102040206,电信,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.2.6
102040207,智能,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.2.7
1020403,外配,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.3
102040301,煤气,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.3.1
102040302,上水,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.3.2
102040303,上电,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.3.3
102040304,市政配套,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.4.3.4
10205,绿化施工,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.5
1020501,土方,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.5.1
1020502,绿化土建,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.5.2
1020503,绿化安装,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.5.3
1020504,苗木种植,,进行中,一般,0%,2008-7-27,2008-10-27,,,1.5.4
